design_mode,objective,variables,terms,rank,domain,coefficient_spread,min_distinct_separation,resolution_pass
cost_efficient,stage1_design,7,10,2,binary; 14 total levels,3.0,184000.0,True
cost_efficient,stage2_upstream_PCC_outage,4,4,2,binary; 8 total levels,9.828571,450.0,True
cost_efficient,stage2_lateral_22_24_fault,3,3,2,binary; 6 total levels,4.4,450.0,True
cost_efficient,stage2_lateral_25_32_fault,3,3,2,binary; 6 total levels,9.828571,11450.0,True
cost_efficient,stage2_compound_two_lateral_fault,2,2,2,binary; 4 total levels,4.271429,11450.0,True
balanced_critical,stage1_design,11,16,2,binary; 22 total levels,32.571429,184000.0,True
balanced_critical,stage2_upstream_PCC_outage,5,6,2,binary; 10 total levels,10.142857,450.0,True
balanced_critical,stage3b_balanced_critical_upstream_PCC_outage_MG_lateral_22_24,1,3,3,one integer qudit; 3 levels,151.628661,64.352404,True
balanced_critical,stage3s_balanced_critical_upstream_PCC_outage_MG_lateral_22_24,2,6,3,continuous; native sum(u)=1,6.102183,22.521996,True
balanced_critical,stage2_lateral_22_24_fault,4,4,2,binary; 8 total levels,9.828571,450.0,True
balanced_critical,stage2_lateral_25_32_fault,4,5,2,binary; 8 total levels,10.142857,11450.0,True
balanced_critical,stage3b_balanced_critical_lateral_25_32_fault_MG_lateral_22_24,1,3,3,one integer qudit; 3 levels,151.628661,64.352404,True
balanced_critical,stage3s_balanced_critical_lateral_25_32_fault_MG_lateral_22_24,2,6,3,continuous; native sum(u)=1,6.102183,22.521996,True
balanced_critical,stage2_compound_two_lateral_fault,3,3,2,binary; 6 total levels,9.828571,11450.0,True
robust_critical,stage1_design,11,16,2,binary; 22 total levels,51.72752,36000.0,True
robust_critical,stage2_upstream_PCC_outage,6,8,2,binary; 12 total levels,10.142857,450.0,True
robust_critical,stage3b_robust_critical_upstream_PCC_outage_MG_lateral_22_24,1,3,3,one integer qudit; 3 levels,151.628661,64.352404,True
robust_critical,stage3s_robust_critical_upstream_PCC_outage_MG_lateral_22_24,2,6,3,continuous; native sum(u)=1,6.102183,22.521996,True
robust_critical,stage3b_robust_critical_upstream_PCC_outage_MG_lateral_25_32,1,3,3,one integer qudit; 3 levels,153.384823,62.711343,True
robust_critical,stage3s_robust_critical_upstream_PCC_outage_MG_lateral_25_32,2,6,3,continuous; native sum(u)=1,6.23556,21.803264,True
robust_critical,stage2_lateral_22_24_fault,5,6,2,binary; 10 total levels,9.828571,450.0,True
robust_critical,stage3b_robust_critical_lateral_22_24_fault_MG_lateral_25_32,1,3,3,one integer qudit; 3 levels,153.384823,62.711343,True
robust_critical,stage3s_robust_critical_lateral_22_24_fault_MG_lateral_25_32,2,6,3,continuous; native sum(u)=1,6.23556,21.803264,True
robust_critical,stage2_lateral_25_32_fault,5,6,2,binary; 10 total levels,10.142857,450.0,True
robust_critical,stage3b_robust_critical_lateral_25_32_fault_MG_lateral_22_24,1,3,3,one integer qudit; 3 levels,151.628661,64.352404,True
robust_critical,stage3s_robust_critical_lateral_25_32_fault_MG_lateral_22_24,2,6,3,continuous; native sum(u)=1,6.102183,22.521996,True
robust_critical,stage2_compound_two_lateral_fault,4,4,2,binary; 8 total levels,9.828571,450.0,True
