protocol_sha256,id,group,evidence_class,payload,payload_sha256,schedule,num_samples,status
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee39_hour_h16,IEEE39 hourly h16-h19,REGISTERED_EVIDENCE,ieee39_transmission/qci/ieee39_flagship/hdisp_c0_s171_h16_polynomial.json,25490ce4b1eedaa11e5452aa6597aa3dd3b18a370fb8b5a42730f81243dcc58a,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee39_hour_h17,IEEE39 hourly h16-h19,REGISTERED_EVIDENCE,ieee39_transmission/qci/ieee39_flagship/hdisp_c0_s171_h17_polynomial.json,24ffad3648394d9e7976efbb52ce75741b626af84ac37da35dd2d3133be8337a,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee39_hour_h18,IEEE39 hourly h16-h19,REGISTERED_EVIDENCE,ieee39_transmission/qci/ieee39_flagship/hdisp_c0_s171_h18_polynomial.json,40a1d15746d275aec02bbf8ae67625131ab73c0b109f79b9107ab347fa23ec53,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee39_hour_h19,IEEE39 hourly h16-h19,REGISTERED_EVIDENCE,ieee39_transmission/qci/ieee39_flagship/hdisp_c0_s171_h19_polynomial.json,5082907443ec0a2d3e927512cc401637869e3a058fd90524f98b45af1bfa8213,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee39_window_h16_h19,IEEE39 4-hour window,REGISTERED_EVIDENCE,ieee39_transmission/qci/ieee39_flagship/wdisp_c0_s171_w16_polynomial.json,d6337b990fa4db83ddfa53264031644f2051d8384ead92ba4d4c4149f2c3a02c,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee39_cubic_resolution_probe,IEEE39 coefficient-resolution probe,CHARACTERIZATION_OUTSIDE_COEFFICIENT_GUIDANCE,ieee39_transmission/qci/ieee39_flagship/dispatch_c0_s171_polynomial.json,165a407284da2e6b0740f88029a89999064d2d26f64454a28b5c57891397f1be,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee33_stage1_balanced,IEEE33 Stages 1-2,REGISTERED_EVIDENCE,ieee33_feeder/qci_payloads/stage1_balanced_critical_design.json,4330ba484a9c866e728426e98a624422db429c8d543cb0be4fae8dc0c6b9a5e8,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee33_stage2_balanced_compound,IEEE33 Stages 1-2,REGISTERED_EVIDENCE,ieee33_feeder/qci_payloads/stage2_balanced_critical_compound_two_lateral_fault.json,1866cb577bc7154eabebaa9eb3dee35853ad82929fffa86402efa5cc20aea721,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee33_stage3b_balanced_cubic,IEEE33 matched Stage 3,REGISTERED_EVIDENCE,ieee33_feeder/qci_payloads/stage3b_balanced_critical_upstream_PCC_outage_MG_lateral_22_24.json,d8993d97e738a87a4e41ffaaa41cff967cb913434918af386aa72d65e6be5bee,1,25,PLANNED_NOT_EXECUTED
0c97a069f187aa4627458c8a59b9add1673083404cf1a496863ab8294b20a09f,ieee33_stage3s_balanced_continuous,IEEE33 matched Stage 3,REGISTERED_EVIDENCE,ieee33_feeder/qci_payloads/stage3s_balanced_critical_upstream_PCC_outage_MG_lateral_22_24.json,49e9336d0d76f175a942502b21d5fa95087d9a96ff93b46fe469c418582b62f5,1,25,PLANNED_NOT_EXECUTED
