design_mode,scenario,service_id,active_candidate,role,converged,min_voltage_pu,min_voltage_bus,real_loss_kw,source_mw,nameplate_margin_after_ac_losses_mw,voltage_within_0p90_1p10,active_power_nameplate_ok
cost_efficient,upstream_PCC_outage,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
cost_efficient,upstream_PCC_outage,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
cost_efficient,upstream_PCC_outage,MG_lateral_22_24,MG_lateral_22_24,primary,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
cost_efficient,upstream_PCC_outage,MG_lateral_25_32,MG_lateral_25_32,primary,True,0.97058309,33,25.152968,0.94515297,0.05484703,True,True
cost_efficient,lateral_22_24_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
cost_efficient,lateral_22_24_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
cost_efficient,lateral_22_24_fault,MG_lateral_25_32,MG_lateral_25_32,primary,True,0.97058309,33,25.152968,0.94515297,0.05484703,True,True
cost_efficient,lateral_25_32_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
cost_efficient,lateral_25_32_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
cost_efficient,lateral_25_32_fault,MG_lateral_22_24,MG_lateral_22_24,primary,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
cost_efficient,compound_two_lateral_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
cost_efficient,compound_two_lateral_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
balanced_critical,upstream_PCC_outage,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
balanced_critical,upstream_PCC_outage,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
balanced_critical,upstream_PCC_outage,MG_lateral_25_32,MG_lateral_25_32,primary,True,0.97058309,33,25.152968,0.94515297,0.05484703,True,True
balanced_critical,upstream_PCC_outage,MG_lateral_22_24,MG_blackstart_22_24,blackstart_overlap,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
balanced_critical,lateral_22_24_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
balanced_critical,lateral_22_24_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
balanced_critical,lateral_22_24_fault,MG_lateral_25_32,MG_lateral_25_32,primary,True,0.97058309,33,25.152968,0.94515297,0.05484703,True,True
balanced_critical,lateral_22_24_fault,MG_lateral_22_24,MG_blackstart_22_24,blackstart_overlap,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
balanced_critical,lateral_25_32_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
balanced_critical,lateral_25_32_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
balanced_critical,lateral_25_32_fault,MG_lateral_22_24,MG_blackstart_22_24,blackstart_overlap,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
balanced_critical,compound_two_lateral_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
balanced_critical,compound_two_lateral_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
balanced_critical,compound_two_lateral_fault,MG_lateral_22_24,MG_blackstart_22_24,blackstart_overlap,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
robust_critical,upstream_PCC_outage,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
robust_critical,upstream_PCC_outage,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
robust_critical,upstream_PCC_outage,MG_lateral_22_24,MG_blackstart_22_24,blackstart_overlap,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
robust_critical,upstream_PCC_outage,MG_lateral_25_32,MG_blackstart_25_32,blackstart_overlap,True,0.97058309,33,25.152968,0.94515297,0.05484703,True,True
robust_critical,lateral_22_24_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
robust_critical,lateral_22_24_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
robust_critical,lateral_22_24_fault,MG_lateral_22_24,MG_blackstart_22_24,blackstart_overlap,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
robust_critical,lateral_22_24_fault,MG_lateral_25_32,MG_blackstart_25_32,blackstart_overlap,True,0.97058309,33,25.152968,0.94515297,0.05484703,True,True
robust_critical,lateral_25_32_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
robust_critical,lateral_25_32_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
robust_critical,lateral_25_32_fault,MG_lateral_22_24,MG_blackstart_22_24,blackstart_overlap,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
robust_critical,lateral_25_32_fault,MG_lateral_25_32,MG_blackstart_25_32,blackstart_overlap,True,0.97058309,33,25.152968,0.94515297,0.05484703,True,True
robust_critical,compound_two_lateral_fault,MG_trunk_1_17,MG_trunk_1_17,primary,True,0.94294954,18,45.509869,1.55050987,0.44949013,True,True
robust_critical,compound_two_lateral_fault,MG_lateral_18_21,MG_lateral_18_21,primary,True,0.99509784,22,0.969694,0.36096969,0.63903031,True,True
robust_critical,compound_two_lateral_fault,MG_lateral_22_24,MG_blackstart_22_24,blackstart_overlap,True,0.99021403,25,6.163751,0.93616375,0.06383625,True,True
robust_critical,compound_two_lateral_fault,MG_lateral_25_32,MG_blackstart_25_32,blackstart_overlap,True,0.97058309,33,25.152968,0.94515297,0.05484703,True,True
