design_mode,scenario,outage_start_hour,outage_end_hour_exclusive,affected_services,installed_resource_count,installed_blackstart_overlap_count,affected_demand_mwh,served_mwh,unserved_mwh,critical_demand_mwh,critical_unserved_mwh,customer_block_hours_equivalent_unserved,worst_hour_customer_fraction_unserved,black_start_services_started,black_start_services_required,all_affected_services_black_started,all_critical_energy_served,all_affected_load_energy_served,minimum_end_of_day_soc_fraction,physical_constraints_pass,reliability_shortfall
cost_efficient,upstream_PCC_outage,0,4,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,4,0,10.1791,9.0824,1.0967,2.877,0.493,10.40310727,0.325097102,4,4,True,False,False,0.25,True,True
cost_efficient,upstream_PCC_outage,4,8,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,4,0,11.2193,9.636030189,1.583269811,3.171,0.624584906,12.556905832,0.392403307,4,4,True,False,False,0.25,True,True
cost_efficient,upstream_PCC_outage,8,12,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,4,0,14.37705,14.37705,0.0,4.0635,0.0,0.0,0.0,4,4,True,True,True,0.40135203,True,False
cost_efficient,upstream_PCC_outage,12,16,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,4,0,14.7114,14.706196226,0.005203774,4.158,0.0,0.016457222,0.000514288,4,4,True,True,False,0.56972621,True,True
cost_efficient,upstream_PCC_outage,16,20,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,4,0,16.60605,11.726648196,4.879401804,4.6935,1.589698113,32.827368925,0.81275099,4,4,True,False,False,0.25,True,True
cost_efficient,upstream_PCC_outage,20,24,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,4,0,13.41115,9.756670838,3.654479162,3.7905,1.334996226,33.953565675,0.807153126,4,4,True,False,False,0.25,True,True
cost_efficient,lateral_22_24_fault,0,4,MG_lateral_22_24,4,0,2.5482,0.0,2.5482,2.3016,2.3016,12.0,0.09375,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_22_24_fault,4,8,MG_lateral_22_24,4,0,2.8086,0.0,2.8086,2.5368,2.5368,12.0,0.09375,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_22_24_fault,8,12,MG_lateral_22_24,4,0,3.5991,0.0,3.5991,3.2508,3.2508,12.0,0.09375,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_22_24_fault,12,16,MG_lateral_22_24,4,0,3.6828,0.0,3.6828,3.3264,3.3264,12.0,0.09375,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_22_24_fault,16,20,MG_lateral_22_24,4,0,4.1571,0.0,4.1571,3.7548,3.7548,12.0,0.09375,0,1,False,False,False,0.85,True,True
