payload,stage,variables,rank,terms,domain,state_space,exact_energy,exact_median_runtime_ms_10_repeats,sa_seeds,sa_evaluations_per_seed,sa_success_rate,sa_mean_gap,sa_max_gap,sa_median_runtime_ms
stage1_balanced_critical_design.json,stage1_microgrid_design,11,2,16,binary,2048,1441200.0,4.4554529995366465,30,25,0.0,515946.6666666667,1867200.0,0.27108699941891246
stage1_cost_efficient_design.json,stage1_microgrid_design,7,2,10,binary,128,1073600.0,0.19549449643818662,30,25,0.13333333333333333,282133.3333333333,552000.0,0.24060200303210877
stage1_robust_critical_design.json,stage1_microgrid_design,11,2,16,binary,2048,1556800.0,4.688797998824157,30,25,0.0,554460.0,1940600.0,0.27200299882679246
stage2_balanced_critical_compound_two_lateral_fault.json,stage2_contingency_islanding,3,2,3,binary,8,-52850.0,0.007746504707029089,30,25,1.0,0.0,0.0,0.20545900042634457
stage2_balanced_critical_lateral_22_24_fault.json,stage2_contingency_islanding,4,2,4,binary,16,-68250.0,0.015577996236970648,30,25,1.0,0.0,0.0,0.21281999943312258
stage2_balanced_critical_lateral_25_32_fault.json,stage2_contingency_islanding,4,2,5,binary,16,-52850.0,0.017225502233486623,30,25,1.0,0.0,0.0,0.2140219949069433
stage2_balanced_critical_upstream_PCC_outage.json,stage2_contingency_islanding,5,2,6,binary,32,-68250.0,0.03615400055423379,30,25,1.0,0.0,0.0,0.2207569959864486
stage2_cost_efficient_compound_two_lateral_fault.json,stage2_contingency_islanding,2,2,2,binary,4,-18450.0,0.004271001671440899,30,25,1.0,0.0,0.0,0.1998610023292713
stage2_cost_efficient_lateral_22_24_fault.json,stage2_contingency_islanding,3,2,3,binary,8,-33850.0,0.007661499694222584,30,25,1.0,0.0,0.0,0.20754249635501765
stage2_cost_efficient_lateral_25_32_fault.json,stage2_contingency_islanding,3,2,3,binary,8,-52850.0,0.007696500688325614,30,25,1.0,0.0,0.0,0.20725700233015232
stage2_cost_efficient_upstream_PCC_outage.json,stage2_contingency_islanding,4,2,4,binary,16,-68250.0,0.01535749834147282,30,25,1.0,0.0,0.0,0.21026150352554396
stage2_robust_critical_compound_two_lateral_fault.json,stage2_contingency_islanding,4,2,4,binary,16,-68250.0,0.011125997843919322,30,25,1.0,0.0,0.0,0.13182049951865338
stage2_robust_critical_lateral_22_24_fault.json,stage2_contingency_islanding,5,2,6,binary,32,-68250.0,0.026319499738747254,30,25,0.9666666666666667,116.66666666666667,3500.0,0.2070614973490592
stage2_robust_critical_lateral_25_32_fault.json,stage2_contingency_islanding,5,2,6,binary,32,-68250.0,0.03288799780420959,30,25,1.0,0.0,0.0,0.14643200120190158
stage2_robust_critical_upstream_PCC_outage.json,stage2_contingency_islanding,6,2,8,binary,64,-68250.0,0.06934299744898453,30,25,1.0,0.0,0.0,0.18503899991628714
stage3b_balanced_critical_lateral_25_32_fault_MG_lateral_22_24.json,stage3b_exact_balance_qudit_cubic,1,3,3,integer levels=[3],3,386.78191599999997,0.003094501153100282,30,25,1.0,0.0,0.0,0.15489950237679295
stage3b_balanced_critical_upstream_PCC_outage_MG_lateral_22_24.json,stage3b_exact_balance_qudit_cubic,1,3,3,integer levels=[3],3,386.78191599999997,0.003019496944034472,30,25,1.0,0.0,0.0,0.13495449820766225
