design_mode,metric,value
cost_efficient,risk_value_beta_usd_per_mwh,0.0
cost_efficient,upfront_cost_usd,13420000.0
cost_efficient,annualized_cost_usd_per_year,1073600.0
cost_efficient,selected_blackstart_overlaps,0
cost_efficient,worst_customer_block_fraction_unserved,0.34375
cost_efficient,worst_load_fraction_unserved_sensitivity,0.4979811574697174
cost_efficient,audit_set_critical_unserved_mwh,8.4
cost_efficient,expected_annual_critical_unserved_mwh,21.000000000000004
cost_efficient,critical_unserved_pocket_hours,16.0
cost_efficient,compound_customer_fraction_served,0.65625
cost_efficient,compound_critical_fraction_served,0.0
balanced_critical,risk_value_beta_usd_per_mwh,30000.0
balanced_critical,upfront_cost_usd,16440000.0
balanced_critical,annualized_cost_usd_per_year,1315200.0
balanced_critical,selected_blackstart_overlaps,1
balanced_critical,worst_customer_block_fraction_unserved,0.25
balanced_critical,worst_load_fraction_unserved_sensitivity,0.2476446837146703
balanced_critical,audit_set_critical_unserved_mwh,1.6800000000000006
balanced_critical,expected_annual_critical_unserved_mwh,4.200000000000001
balanced_critical,critical_unserved_pocket_hours,8.0
balanced_critical,compound_customer_fraction_served,0.75
balanced_critical,compound_critical_fraction_served,0.7999999999999999
robust_critical,risk_value_beta_usd_per_mwh,75000.0
robust_critical,upfront_cost_usd,19460000.0
robust_critical,annualized_cost_usd_per_year,1556800.0
robust_critical,selected_blackstart_overlaps,2
robust_critical,worst_customer_block_fraction_unserved,0.0
robust_critical,worst_load_fraction_unserved_sensitivity,0.0
robust_critical,audit_set_critical_unserved_mwh,0.0
robust_critical,expected_annual_critical_unserved_mwh,0.0
robust_critical,critical_unserved_pocket_hours,0
robust_critical,compound_customer_fraction_served,1.0
robust_critical,compound_critical_fraction_served,1.0
