design_mode,scenario,event_rate_per_year,active_islands,available_selected_options,customer_fraction_served,max_customer_fraction_unserved,load_fraction_served,load_fraction_unserved,critical_fraction_served,critical_unserved_mwh,critical_unserved_pocket_hours,ground_energy
cost_efficient,upstream_PCC_outage,12.0,4,4,1.0,0.0,1.0,0.0,1.0,0.0,0,-68250.0
cost_efficient,lateral_22_24_fault,4.0,3,3,0.90625,0.09375,0.7496635262449529,0.2503364737550471,0.19999999999999998,3.3600000000000003,4.0,-33850.0
cost_efficient,lateral_25_32_fault,4.0,3,3,0.75,0.25,0.7523553162853297,0.2476446837146703,0.7999999999999999,0.8400000000000003,4.0,-52850.0
cost_efficient,compound_two_lateral_fault,1.0,2,2,0.65625,0.34375,0.5020188425302826,0.4979811574697174,0.0,4.2,8.0,-18450.0
balanced_critical,upstream_PCC_outage,12.0,4,5,1.0,0.0,1.0,0.0,1.0,0.0,0,-68250.0
balanced_critical,lateral_22_24_fault,4.0,4,4,1.0,0.0,1.0,0.0,1.0,0.0,0,-68250.0
balanced_critical,lateral_25_32_fault,4.0,3,4,0.75,0.25,0.7523553162853297,0.2476446837146703,0.7999999999999999,0.8400000000000003,4.0,-52850.0
balanced_critical,compound_two_lateral_fault,1.0,3,3,0.75,0.25,0.7523553162853297,0.2476446837146703,0.7999999999999999,0.8400000000000003,4.0,-52850.0
robust_critical,upstream_PCC_outage,12.0,4,6,1.0,0.0,1.0,0.0,1.0,0.0,0,-68250.0
robust_critical,lateral_22_24_fault,4.0,4,5,1.0,0.0,1.0,0.0,1.0,0.0,0,-68250.0
robust_critical,lateral_25_32_fault,4.0,4,5,1.0,0.0,1.0,0.0,1.0,0.0,0,-68250.0
robust_critical,compound_two_lateral_fault,1.0,4,4,1.0,0.0,1.0,0.0,1.0,0.0,0,-68250.0
