id,group,evidence_class,status,job_id,num_samples_requested,total_samples_counted,device_usage_s,best_energy_local_float64_constant_restored,classical_reference_energy,relative_gap,audit_pass,audit_reasons
ieee39_hour_h16,IEEE39 hourly h16-h19,REGISTERED_EVIDENCE,COMPLETED,6a6101b708442f441bbb27a5,25,25,4,-156561.81277609768,-156571.30720286292,6.06396340099836e-05,True,
ieee39_hour_h17,IEEE39 hourly h16-h19,REGISTERED_EVIDENCE,COMPLETED,6a6101c308442f441bbb27a6,25,25,5,-165177.60000310926,-168082.17921186014,0.017280708891153747,True,
ieee39_hour_h18,IEEE39 hourly h16-h19,REGISTERED_EVIDENCE,COMPLETED,6a6101ce08442f441bbb27a7,25,25,5,-161374.56276926384,-162702.99007655625,0.008164738132147109,True,
ieee39_hour_h19,IEEE39 hourly h16-h19,REGISTERED_EVIDENCE,COMPLETED,6a6101da08442f441bbb27a8,25,25,5,-156736.08073973135,-156780.35617075002,0.00028240419973565715,True,
ieee39_window_h16_h19,IEEE39 4-hour window,REGISTERED_EVIDENCE,COMPLETED,6a6101e508442f441bbb27a9,25,25,9,-746220.6550384088,,,True,
ieee39_cubic_resolution_probe,IEEE39 coefficient-resolution probe,CHARACTERIZATION_OUTSIDE_COEFFICIENT_GUIDANCE,COMPLETED,6a6101fb08442f441bbb27aa,25,25,274,18898087423.054703,,,True,
ieee33_stage1_balanced,IEEE33 Stages 1-2,REGISTERED_EVIDENCE,COMPLETED,6a61031708442f441bbb27ab,25,25,6,1441200.0,1441200.0,0.0,True,
ieee33_stage2_balanced_compound,IEEE33 Stages 1-2,REGISTERED_EVIDENCE,COMPLETED,6a61032d08442f441bbb27ac,25,25,4,-52850.0,-52850.0,0.0,True,
ieee33_stage3b_balanced_cubic,IEEE33 matched Stage 3,REGISTERED_EVIDENCE,COMPLETED,6a61034308442f441bbb27ad,25,25,4,386.78191599999997,386.78191599999997,0.0,True,
ieee33_stage3s_balanced_continuous,IEEE33 matched Stage 3,REGISTERED_EVIDENCE,COMPLETED,6a61035808442f441bbb27ae,25,25,4,386.78098826535523,386.7663857047915,3.775550591637065e-05,True,
